,name,company,year,price,kms_driven,fuel_type
16761,Toyota Corolla,Toyota ,2004,1220000,114000,Petrol
16762,Honda N,Honda ,2014,1400000,46000,Petrol
16763,Toyota Corolla,Toyota ,2010,1300000,300000,Petrol
16764,Suzuki Alto,Suzuki ,2010,585000,84000,Petrol
16765,Toyota Corolla,Toyota ,2011,1575000,230000,Petrol
16766,Toyota Corolla,Toyota ,2009,1600000,145000,Petrol
16767,Suzuki Wagon,Suzuki ,2017,1530000,60400,Petrol
16768,Nissan AD,Nissan ,2006,970000,125000,Petrol
16769,Suzuki Wagon,Suzuki ,2019,1610000,21000,Petrol
16770,Suzuki Alto,Suzuki ,2013,1390000,85000,Petrol
16771,Suzuki Mehran,Suzuki ,2019,1100000,8800,Petrol
16772,Suzuki Alto,Suzuki ,2013,1350000,69000,Petrol
16773,Toyota Corolla,Toyota ,2017,2650000,25000,Petrol
16774,Daihatsu Cuore,Daihatsu ,2011,835000,100000,Petrol
16775,Daihatsu Cuore,Daihatsu ,2006,780000,103000,Petrol
16776,Suzuki Alto,Suzuki ,2005,570000,200000,Petrol
16777,Suzuki Khyber,Suzuki ,1995,375000,105000,Petrol
16778,Honda Civic,Honda ,2004,890000,63000,Petrol
16779,Toyota Corolla,Toyota ,2007,1260000,207500,Petrol
16780,Toyota Corolla,Toyota ,2007,2240000,293000,Petrol
16781,Suzuki Mehran,Suzuki ,2008,540000,50000,Petrol
16782,Toyota Corolla,Toyota ,2009,1450000,95000,Petrol
16783,Toyota Corolla,Toyota ,2005,1400000,85000,Petrol
16784,Suzuki Khyber,Suzuki ,1997,360000,81600,Petrol
16785,Honda City,Honda ,2017,2125000,45000,Petrol
16786,Suzuki Cultus,Suzuki ,2011,830000,100000,Petrol
16787,Toyota Corolla,Toyota ,2009,1400000,290000,Petrol
16788,Suzuki Cultus,Suzuki ,2001,400000,200000,Petrol
16789,Suzuki Alto,Suzuki ,2013,1350000,96000,Petrol
16790,Suzuki Mehran,Suzuki ,2007,500000,75000,Petrol
16791,Nissan Sunny,Nissan ,1998,575000,123000,Petrol
16792,Mitsubishi Pajero,Mitsubishi ,2007,850000,100000,Petrol
16793,Honda City,Honda ,2003,1000000,164000,Petrol
16794,Toyota Vitz,Toyota ,1999,1200000,150000,Petrol
16795,Suzuki Alto,Suzuki ,2019,1550000,16100,Petrol
16796,Honda City,Honda ,2015,2125000,51000,Petrol
16797,Toyota Prado,Toyota ,2012,11500000,60000,Petrol
16798,Toyota Passo,Toyota ,2007,1150000,180000,Petrol
16799,Suzuki Wagon,Suzuki ,2019,1550000,14000,Petrol
16800,Toyota Corolla,Toyota ,2001,895000,190000,Petrol
16801,Toyota Corolla,Toyota ,2017,3450000,24000,Petrol
16802,Daihatsu Mira,Daihatsu ,2016,1750000,21000,Petrol
16803,Toyota Hiace,Toyota ,2008,1550000,50000,Petrol
16804,Honda City,Honda ,2017,2100000,102000,Petrol
16805,Honda Civic,Honda ,1998,790000,162425,Petrol
16806,Toyota Corolla,Toyota ,2011,1850000,48000,Petrol
16807,Suzuki Alto,Suzuki ,2010,775000,106000,Petrol
16808,Suzuki Bolan,Suzuki ,2017,1020000,39000,Petrol
16809,Honda Civic,Honda ,2010,1720000,170000,Petrol
16810,Toyota Corolla,Toyota ,2009,1500000,132984,Petrol
16811,Hyundai Santro,Hyundai ,2003,550000,160000,Petrol
16812,Toyota Vitz,Toyota ,1999,875000,220000,Petrol
16813,Toyota Prius,Toyota ,2011,2450000,122000,Hybrid
16814,Daihatsu Cuore,Daihatsu ,2011,785000,150000,Petrol
16815,Suzuki Swift,Suzuki ,2017,1455000,51000,Petrol
16816,Honda Civic,Honda ,2005,1200000,110000,Petrol
16817,United Bravo,United ,2019,840000,11000,Petrol
16818,Toyota Corolla,Toyota ,2012,1550000,103730,Petrol
16819,Suzuki Mehran,Suzuki ,2006,550000,80000,Petrol
16820,Toyota Corolla,Toyota ,2013,1875000,119000,Petrol
16821,Honda Civic,Honda ,2009,1550000,188000,Petrol
16822,Suzuki Every,Suzuki ,2012,1320000,50000,Petrol
16823,Toyota Corolla,Toyota ,2018,3100000,30000,Petrol
16824,Suzuki Cultus,Suzuki ,2007,630000,52000,Petrol
16825,Honda N,Honda ,2015,1675000,45000,Petrol
16826,Suzuki Cultus,Suzuki ,2006,630000,70000,Petrol
16827,Suzuki Cultus,Suzuki ,2006,580000,60000,Petrol
16828,Toyota Corolla,Toyota ,2019,1550000,22500,Petrol
16829,Suzuki Bolan,Suzuki ,2019,1070000,25000,Petrol
16830,Honda Civic,Honda ,2008,1225000,135000,Petrol
16831,Daihatsu Mira,Daihatsu ,2018,1790000,12000,Petrol
16832,Suzuki Bolan,Suzuki ,2015,880000,65000,Petrol
16833,Toyota Corolla,Toyota ,2002,950000,208744,Diesel
16834,Suzuki Cultus,Suzuki ,2006,680000,60000,Petrol
16835,Toyota Passo,Toyota ,2012,1565000,140000,Petrol
16836,Toyota Prado,Toyota ,2005,4690000,126000,Petrol
16837,Suzuki Cultus,Suzuki ,2000,420000,150000,Petrol
16838,Honda Civic,Honda ,2009,1525000,106000,Petrol
16839,Suzuki Mehran,Suzuki ,2005,450000,64545,Petrol
16840,Toyota Corolla,Toyota ,2016,2150000,100000,Petrol
16841,Honda City,Honda ,2014,1775000,36000,Petrol
16842,Toyota Corolla,Toyota ,2005,1880000,124000,Petrol
16843,Suzuki Ravi,Suzuki ,1993,360000,120000,Petrol
16844,Mitsubishi Minicab,Mitsubishi ,2015,1525000,46500,Petrol
16845,Daihatsu Mira,Daihatsu ,2010,925000,65000,Petrol
16846,Toyota Corolla,Toyota ,2002,900000,350000,Diesel
16847,Honda Civic,Honda ,2007,1400000,125000,Petrol
16848,Suzuki Mehran,Suzuki ,1992,260000,100000,Petrol
16849,Honda Civic,Honda ,2017,3550000,62000,Petrol
16850,Honda City,Honda ,2006,1175000,120800,Petrol
16851,Toyota Vitz,Toyota ,2008,1700000,73000,Petrol
16852,Suzuki Alto,Suzuki ,2010,850000,73000,Petrol
16853,Toyota Corolla,Toyota ,1996,750000,250000,Petrol
16854,Suzuki Cultus,Suzuki ,2018,1730000,17000,Petrol
16855,Suzuki Liana,Suzuki ,2007,670000,190000,Petrol
16856,Honda Civic,Honda ,2000,920000,100000,Petrol
16857,Suzuki Mehran,Suzuki ,2017,750000,40568,Petrol
16858,Suzuki Alto,Suzuki ,2006,625000,155000,Petrol
16859,Honda Civic,Honda ,2017,3400000,60000,Petrol
16860,Honda Life,Honda ,2008,975000,150000,Petrol
16861,Honda Civic,Honda ,2006,1225000,147000,Petrol
16862,Suzuki Bolan,Suzuki ,2007,560000,52000,Petrol
16863,Toyota Corolla,Toyota ,2008,1290000,150000,Petrol
16864,Suzuki Bolan,Suzuki ,2010,730000,77000,Petrol
16865,Toyota Corolla,Toyota ,2013,1750000,80000,Petrol
16866,Suzuki Khyber,Suzuki ,1999,425000,100000,Petrol
16867,Suzuki Bolan,Suzuki ,2013,685000,100012,Petrol
16868,Suzuki Wagon,Suzuki ,2014,1180000,150000,Petrol
16869,Suzuki Bolan,Suzuki ,2006,480000,60000,Petrol
16870,Toyota Corolla,Toyota ,2018,3180000,55000,Petrol
16871,Toyota Hilux,Toyota ,2012,4600000,78000,Diesel
16872,Suzuki Cultus,Suzuki ,2017,1345000,29500,Petrol
16873,Suzuki Mehran,Suzuki ,2011,515000,92000,Petrol
16874,Suzuki Wagon,Suzuki ,2019,1615000,410000,Petrol
16875,Suzuki Cultus,Suzuki ,2019,1300000,18000,Petrol
16876,Toyota Corolla,Toyota ,2004,1000000,200000,Petrol
16877,Toyota Hiace,Toyota ,2006,1950000,60000,Petrol
16878,Toyota Corolla,Toyota ,2010,1480000,192750,Petrol
16879,Honda Cross,Honda ,2008,2200000,130000,Petrol
16880,Suzuki Mehran,Suzuki ,2014,795000,75000,Petrol
16881,Daihatsu Tanto,Daihatsu ,2015,1465000,12000,Petrol
16882,Suzuki Alto,Suzuki ,2019,1335000,30000,Petrol
16883,Honda Civic,Honda ,2006,1100000,106060,Petrol
16884,Toyota Corolla,Toyota ,2014,1890000,130000,Petrol
16885,Toyota Corolla,Toyota ,2015,2650000,67000,Petrol
16886,Toyota Corolla,Toyota ,2016,2450000,72000,Petrol
16887,Honda N,Honda ,2015,1575000,41000,Petrol
16888,Toyota Hiace,Toyota ,2012,2575000,95000,Petrol
16889,Suzuki Cultus,Suzuki ,2005,600000,100000,Petrol
16890,Suzuki Bolan,Suzuki ,2010,730000,77000,Petrol
16891,Toyota Corolla,Toyota ,2015,1925000,135000,Petrol
16892,Honda N,Honda ,2015,1700000,35000,Petrol
16893,Honda Civic,Honda ,2008,1550000,155000,Petrol
16894,Mazda Azwagon,Mazda ,2007,1050000,71000,Petrol
16895,Toyota Corolla,Toyota ,2007,1150000,100000,Petrol
16896,Suzuki Alto,Suzuki ,2010,570000,11111,Petrol
16897,Toyota Corolla,Toyota ,2018,2875000,35000,Petrol
16898,Toyota Prado,Toyota ,2003,5350000,187000,Petrol
16899,Toyota Corolla,Toyota ,2013,1775000,149000,Petrol
16900,Nissan Moco,Nissan ,2013,1225000,106000,Petrol
16901,Suzuki Cultus,Suzuki ,2016,1280000,95000,Petrol
16902,Suzuki Mehran,Suzuki ,2015,640000,20000,Petrol
16903,Toyota Surf,Toyota ,2002,2750000,282000,Diesel
16904,Honda Civic,Honda ,2004,2384000,76000,Petrol
16905,Suzuki Bolan,Suzuki ,2012,700000,61000,Petrol
16906,Suzuki Every,Suzuki ,2012,875000,65321,Petrol
16907,Daihatsu Cuore,Daihatsu ,2006,590000,96000,Petrol
